item_code,item_description,main_category,sub_category,confidence,reasoning
side005,Truffle Fries,Appetizers,Finger Food,0.9,"Truffle Fries are typically served as a starter or small bite, fitting the 'Finger Food' sub-category under 'Appetizers'."
app010,Prawn Cocktail,Appetizers,Finger Food,0.9,"Prawn cocktail is a classic starter, and while it's seafood, its typical presentation as a small, pre-meal dish aligns best with 'Finger Food' within the Appetizers category."
app009,Spring Rolls (4pcs),Appetizers,Finger Food,0.98,"Spring rolls are a classic starter and are typically eaten as small bites, fitting the 'Finger Food' sub-category."
app005,Buffalo Chicken Wings (6pcs),Appetizers,Finger Food,1,"Buffalo Chicken Wings are a classic small bite served before a main course, fitting perfectly into the 'Finger Food' sub-category under 'Appetizers'."
app006,Crispy Calamari Rings,Appetizers,Finger Food,0.98,"Calamari rings are typically served as a starter or small bite, fitting the 'Finger Food' sub-category."
app007,Loaded Nachos with Cheese,Appetizers,Finger Food,0.98,"Nachos are a classic appetizer and fall under the 'Finger Food' sub-category due to their small, shareable nature."
app003,Caesar Salad with Croutons,Appetizers,Salads,1,"Caesar Salad is a classic salad, typically served as a starter or appetizer."
app004,Greek Salad,Appetizers,Salads,1,"Greek Salad is a fresh salad, typically served as a starter."
app002,Tom Yum Seafood Soup,Appetizers,Soups,0.98,"Tom Yum Seafood Soup is a classic soup, typically served as a starter, and directly matches the 'Soups' sub-category."
app001,Creamy Mushroom Soup,Appetizers,Soups,0.98,"Creamy Mushroom Soup is a classic starter, fitting perfectly into the Appetizers main category and the Soups sub-category."
bev010,Carlsberg Beer 330ml,Beverages,Alcoholic,1,"Carlsberg Beer is an alcoholic drink, fitting perfectly into the Beverages main category and Alcoholic sub-category."
bev013,Margarita,Beverages,Alcoholic,0.98,"A Margarita is a well-known alcoholic cocktail, fitting perfectly into the Beverages main category and Alcoholic sub-category."
bev011,House Red Wine Glass,Beverages,Alcoholic,1,"The product explicitly states 'Red Wine', which is an alcoholic beverage."
bev012,Mojito Cocktail,Beverages,Alcoholic,1,"Mojito Cocktail is an alcoholic drink, fitting perfectly into the Beverages main category and Alcoholic sub-category."
bev007,Iced Lemon Tea,Beverages,Cold Drinks,1,"Iced Lemon Tea is a cold drink, which falls under the Beverages main category."
bev006,Mango Lassi,Beverages,Cold Drinks,0.98,"Mango Lassi is a drink, specifically a cold one, fitting the 'Beverages' main category and 'Cold Drinks' sub-category."
bev005,Fresh Orange Juice,Beverages,Cold Drinks,1,"Fresh Orange Juice is a non-alcoholic, cold drink, fitting perfectly into the Beverages main category and Cold Drinks sub-category."
bev008,Sparkling Water 500ml,Beverages,Cold Drinks,1,"Sparkling water is a cold drink, fitting perfectly into the Beverages main category and Cold Drinks sub-category."
bev009,Coca-Cola,Beverages,Cold Drinks,1,Coca-Cola is a well-known cold beverage.
bev015,Iced Matcha Latte,Beverages,Cold Drinks,1,"Iced Matcha Latte is a cold drink, which falls under the Beverages main category."
bev001,Espresso,Beverages,Hot Drinks,1,"Espresso is a type of coffee, which falls under hot drinks within the beverages category."
bev004,English Breakfast Tea,Beverages,Hot Drinks,1,"English Breakfast Tea is a hot drink, which falls under the Beverages main category."
bev002,Cappuccino,Beverages,Hot Drinks,1,"Cappuccino is a well-known hot beverage, fitting perfectly into the 'Beverages' main category and 'Hot Drinks' sub-category."
bev014,Hot Chocolate,Beverages,Hot Drinks,1,"Hot Chocolate is a hot drink, which falls under the Beverages main category."
bev003,Latte,Beverages,Hot Drinks,1,A latte is a well-known hot beverage made with coffee and milk.
des002,New York Cheesecake Slice,Desserts,Cakes & Pastries,1,"Cheesecake is a type of cake, which falls under the Desserts main category and Cakes & Pastries sub-category."
des009,Strawberry Tart,Desserts,Cakes & Pastries,0.98,"A strawberry tart is a sweet baked good typically served after a meal, fitting the 'Desserts' main category and specifically 'Cakes & Pastries' as a type of tart."
des010,Gelato of the Day,Desserts,Ice Cream & Frozen,1,"Gelato is a type of ice cream, making 'Ice Cream & Frozen' the perfect sub-category under 'Desserts'."
des004,Vanilla Ice Cream 2 Scoops,Desserts,Ice Cream & Frozen,1,"The product explicitly states 'Ice Cream', which directly maps to the 'Ice Cream & Frozen' sub-category under 'Desserts'."
des005,Mango Sorbet,Desserts,Ice Cream & Frozen,1,"Mango Sorbet is a frozen dessert, fitting perfectly into the 'Ice Cream & Frozen' sub-category under 'Desserts'."
des001,Chocolate Lava Cake,Desserts,Puddings & Others,0.98,"Chocolate Lava Cake is a sweet dish typically served after a main course, and it falls under the 'Puddings & Others' sub-category for desserts."
des006,Waffle with Ice Cream,Desserts,Puddings & Others,0.9,"Waffles are classified under puddings and others, and ice cream is a common dessert accompaniment."
des007,Crepe Suzette,Desserts,Puddings & Others,0.98,"Crepe Suzette is a classic dessert, and crepes fall under the 'Puddings & Others' sub-category."
des008,Banana Foster Pudding,Desserts,Puddings & Others,1,"The product is clearly a pudding, which falls under desserts and specifically the 'Puddings & Others' sub-category."
des003,Tiramisu,Desserts,Puddings & Others,0.9,"Tiramisu is a classic Italian dessert, which fits best under the 'Desserts' main category and 'Puddings & Others' sub-category as it's a layered dessert."
main005,Grilled Ribeye Steak 300g,Main Course,Grilled & Roasted,0.98,"Grilled Ribeye Steak is a primary dish and the cooking method is grilling, fitting perfectly into 'Main Course' and 'Grilled & Roasted' categories."
main014,Grilled Lamb Chops 2pcs,Main Course,Grilled & Roasted,0.98,Grilled Lamb Chops are a primary dish and the cooking method 'Grilled' directly matches the sub-category.
main006,BBQ Baby Back Ribs Half Rack,Main Course,Grilled & Roasted,0.98,"BBQ Baby Back Ribs are a primary dish, and the cooking method 'BBQ' clearly falls under 'Grilled & Roasted'."
main007,Roasted Half Chicken,Main Course,Grilled & Roasted,0.98,"Roasted Half Chicken clearly indicates a primary dish that has been roasted, fitting the 'Grilled & Roasted' sub-category under 'Main Course'."
main004,Mushroom Risotto,Main Course,Pasta & Rice,0.98,Mushroom Risotto is a primary dish and risotto falls under the 'Pasta & Rice' sub-category.
main015,Chicken Teriyaki Rice Bowl,Main Course,Pasta & Rice,0.9,The product is a 'Rice Bowl' which clearly indicates it's a main dish and falls under the 'Pasta & Rice' sub-category.
main017,Char Kuey Teow,Main Course,Pasta & Rice,0.9,"Char Kuey Teow is a noodle dish, which falls under the 'Pasta & Rice' sub-category for main courses."
main002,Penne Arrabiata,Main Course,Pasta & Rice,0.98,"Penne Arrabiata is a pasta dish, which is a primary meal."
main013,Mushroom and Spinach Lasagna,Main Course,Pasta & Rice,0.98,Lasagna is a pasta dish typically served as a main course.
main001,Spaghetti Carbonara,Main Course,Pasta & Rice,0.98,"Spaghetti Carbonara is a classic pasta dish, making it a main course and specifically falling under the 'Pasta & Rice' sub-category."
main018,Beef Rendang with Rice,Main Course,Pasta & Rice,0.9,"Beef Rendang with Rice is a primary dish, and 'Rice' falls under the 'Pasta & Rice' sub-category for main courses."
main016,Nasi Lemak Special,Main Course,Pasta & Rice,0.9,"Nasi Lemak is a traditional Malaysian dish primarily consisting of rice, making it a main course under the 'Pasta & Rice' sub-category."
main003,Seafood Linguine,Main Course,Pasta & Rice,0.95,"Linguine is a type of pasta, and seafood linguine is typically served as a main dish."
main009,Pan-Seared Sea Bass,Main Course,Seafood,0.98,"Pan-Seared Sea Bass is a primary dish featuring seafood, clearly classifying it as a Main Course under the Seafood sub-category."
main008,Grilled Salmon Fillet,Main Course,Seafood,0.98,"Grilled Salmon Fillet is a primary dish featuring seafood, making it a Main Course under the Seafood sub-category."
main010,Garlic Butter Prawn,Main Course,Seafood,0.9,"Garlic Butter Prawn is a primary dish featuring seafood, making it a main course under the seafood sub-category."
main011,Fish & Chips,Main Course,Seafood,0.9,"Fish & Chips is a primary dish featuring fish, classifying it as a main course under seafood."
main012,Vegetable Stir Fry with Tofu,Main Course,Vegetarian,0.98,"The product is a primary dish (stir fry) and explicitly states it is vegetable with tofu, fitting the 'Vegetarian' sub-category."
side009,Naan Bread,Sides,Bread & Rolls,0.98,"Naan bread is a type of flatbread, which falls under the 'Bread & Rolls' sub-category and is typically served as a side dish."
app008,Garlic Bread with Cheese,Sides,Bread & Rolls,0.98,"Garlic bread is a classic side dish, and 'Bread & Rolls' is the most fitting sub-category."
side002,Garlic Dinner Rolls,Sides,Bread & Rolls,0.98,Garlic Dinner Rolls are a type of bread typically served as a side dish.
side001,Steamed Jasmine Rice,Sides,Pasta & Rice,0.9,"Steamed Jasmine Rice is a common side dish, and 'Pasta & Rice' is the most appropriate sub-category for rice dishes."
side006,Coleslaw,Sides,Salads,0.9,"Coleslaw is a common side dish made primarily of shredded cabbage, which classifies it as a salad."
side007,BBQ Sauce,Sides,Sauces & Dips,1,"BBQ Sauce is a condiment typically served as a side to accompany main dishes, fitting perfectly into the 'Sauces & Dips' sub-category under 'Sides'."
side008,Hollandaise Sauce,Sides,Sauces & Dips,1,"Hollandaise Sauce is a classic condiment, fitting perfectly into the 'Sauces & Dips' sub-category under 'Sides'."
side004,Honey Glazed Carrots,Sides,Vegetables,0.98,Honey Glazed Carrots are a vegetable dish typically served alongside a main course.
side010,Roasted Baby Potatoes,Sides,Vegetables,0.98,Roasted Baby Potatoes are a common side dish and fall under the 'Vegetables' sub-category.
side003,Grilled Asparagus,Sides,Vegetables,0.98,"Grilled Asparagus is a vegetable dish typically served alongside a main course, fitting the 'Sides' main category and 'Vegetables' sub-category."
